osmid,highway,oneway,reversed,length,geometry,name,ref,access,lanes,tunnel,maxspeed,bridge,junction
23306330,residential,False,False,81.626,"LINESTRING (80.2166595 13.0783235, 80.2163898 13.0783695, 80.2160819 13.078406, 80.2159156 13.0784387)",,,,,,,,
23306321,residential,False,False,31.277,"LINESTRING (80.2167588 13.0788866, 80.2167738 13.0791675)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,10.261,"LINESTRING (80.2167588 13.0788866, 80.2167408 13.078796)",N.S.K. Nagar Main Road,,,,,,,
23306336,residential,False,False,104.094,"LINESTRING (80.2167588 13.0788866, 80.2171231 13.0788557, 80.2177151 13.0787939)",,,,,,,,
23306321,residential,False,False,16.296,"LINESTRING (80.2167739 13.0791991, 80.216767 13.0793455)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,3.514,"LINESTRING (80.2167739 13.0791991, 80.2167738 13.0791675)",N.S.K. Nagar Main Road,,,,,,,
23306337,residential,False,False,102.103,"LINESTRING (80.2167739 13.0791991, 80.2177156 13.079157)",,,,,,,,
23306322,residential,False,True,144.05200000000002,"LINESTRING (80.2150599 13.0760987, 80.215381 13.0759938, 80.2158561 13.0758302, 80.2163294 13.0757169)",,,,,,,,
23306323,residential,False,True,116.632,"LINESTRING (80.2153621 13.0764946, 80.2158011 13.0763642, 80.2161382 13.0762883, 80.2164055 13.07624)",,,,,,,,
23306321,residential,False,False,27.162,"LINESTRING (80.2163646 13.075999, 80.2164055 13.07624)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,31.599,"LINESTRING (80.2163646 13.075999, 80.2163294 13.0757169)",N.S.K. Nagar Main Road,,,,,,,
23306324,residential,False,False,139.66400000000002,"LINESTRING (80.2163646 13.075999, 80.2161438 13.0760401, 80.2158993 13.0760701, 80.2156418 13.0761345, 80.2154857 13.076186, 80.2151508 13.076376)",,,,,,,,
23306324,residential,False,True,139.664,"LINESTRING (80.2151508 13.076376, 80.2154857 13.076186, 80.2156418 13.0761345, 80.2158993 13.0760701, 80.2161438 13.0760401, 80.2163646 13.075999)",,,,,,,,
23306321,residential,False,False,32.402,"LINESTRING (80.2164435 13.0765302, 80.2164785 13.0768196)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,32.53,"LINESTRING (80.2164435 13.0765302, 80.2164055 13.07624)",N.S.K. Nagar Main Road,,,,,,,
23306325,residential,False,False,94.557,"LINESTRING (80.2164435 13.0765302, 80.2162193 13.0765729, 80.2159875 13.0766106, 80.2157761 13.0766606, 80.2155909 13.07671)",,,,,,,,
23306325,residential,False,True,94.55699999999999,"LINESTRING (80.2155909 13.07671, 80.2157761 13.0766606, 80.2159875 13.0766106, 80.2162193 13.0765729, 80.2164435 13.0765302)",,,,,,,,
23306321,residential,False,True,32.402,"LINESTRING (80.2164785 13.0768196, 80.2164435 13.0765302)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,False,31.098,"LINESTRING (80.2164785 13.0768196, 80.2164901 13.0769572, 80.2164979 13.0770986)",N.S.K. Nagar Main Road,,,,,,,
23306329,residential,False,False,76.792,"LINESTRING (80.2164785 13.0768196, 80.2162981 13.076837, 80.2161247 13.0768567, 80.2159243 13.0768828, 80.2157742 13.0768983)",,,,,,,,
23306329,residential,False,True,76.792,"LINESTRING (80.2157742 13.0768983, 80.2159243 13.0768828, 80.2161247 13.0768567, 80.2162981 13.076837, 80.2164785 13.0768196)",,,,,,,,
23306330,residential,False,True,81.626,"LINESTRING (80.2159156 13.0784387, 80.2160819 13.078406, 80.2163898 13.0783695, 80.2166595 13.0783235)",,,,,,,,
23306321,residential,False,False,28.759,"LINESTRING (80.216617 13.0780682, 80.2166595 13.0783235)",N.S.K. Nagar Main Road,,,,,,,
23306321,residential,False,True,26.727,"LINESTRING (80.216617 13.0780682, 80.2165784 13.0778308)",N.S.K. Nagar Main Road,,,,,,,
23306331,residential,False,False,72.695,"LINESTRING (80.216617 13.0780682, 80.2163999 13.0780967, 80.2161622 13.0781338, 80.2159521 13.0781564)",,,,,,,,
